Доп. объявление группы	Название группы	Номер группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Заголовок 3	Заголовок 4	Текст 1	Текст 2	Текст 3	Ссылка	Минус-фразы на кампанию	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
-	Ноутбуки из реестра	2	ноутбуки реестр российской продукции	Ноутбуки из реестра — подбор для закупки	Российские ноутбуки с проверкой реестра	Подбор ноутбуков под требования закупки	Лигус — поможем с техникой и спецификацией	Проверим конкретную модель и исполнение. Поможем подготовить спецификацию.	Подбор под задачи, бюджет и требования закупки. Работаем с организациями.	Обсудим нужные программы, количество и сроки. Подготовим предложение.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки из реестра	2	российские ноутбуки для госзакупок	Ноутбуки из реестра — подбор для закупки	Российские ноутбуки с проверкой реестра	Подбор ноутбуков под требования закупки	Лигус — поможем с техникой и спецификацией	Проверим конкретную модель и исполнение. Поможем подготовить спецификацию.	Подбор под задачи, бюджет и требования закупки. Работаем с организациями.	Обсудим нужные программы, количество и сроки. Подготовим предложение.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки из реестра	2	ноутбуки для закупки 44 фз	Ноутбуки из реестра — подбор для закупки	Российские ноутбуки с проверкой реестра	Подбор ноутбуков под требования закупки	Лигус — поможем с техникой и спецификацией	Проверим конкретную модель и исполнение. Поможем подготовить спецификацию.	Подбор под задачи, бюджет и требования закупки. Работаем с организациями.	Обсудим нужные программы, количество и сроки. Подготовим предложение.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки из реестра	2	ноутбуки для закупки 223 фз	Ноутбуки из реестра — подбор для закупки	Российские ноутбуки с проверкой реестра	Подбор ноутбуков под требования закупки	Лигус — поможем с техникой и спецификацией	Проверим конкретную модель и исполнение. Поможем подготовить спецификацию.	Подбор под задачи, бюджет и требования закупки. Работаем с организациями.	Обсудим нужные программы, количество и сроки. Подготовим предложение.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	российские ноутбуки для школы	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	купить ноутбуки для школы	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	ноутбуки для государственных учреждений	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	поставка ноутбуков в учебный класс	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	ноутбуки для бюджетных учреждений	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Ноутбуки для учреждений	3	ноутбуки для образовательных организаций	Российские ноутбуки для школ и учреждений	Подберём ноутбуки для учебного класса	Оснащение ноутбуками — начнём с ваших задач	Помощь с подбором ноутбуков и подготовкой ТЗ	Учтём учебные программы и подключение оборудования. Подготовим комплектацию.	Можно без готового ТЗ. Обсудим задачи, бюджет и количество рабочих мест.	Подбор российской техники и расчёт поставки для вашего учреждения.	https://ligus-msk.ru/production/laptops/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
