Доп. объявление группы	Название группы	Номер группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Заголовок 3	Заголовок 4	Текст 1	Текст 2	Текст 3	Ссылка	Минус-фразы на кампанию	Заголовки быстрых ссылок	Описания быстрых ссылок	Адреса быстрых ссылок	Уточнения
-	Компьютеры и АРМ	5	автоматизированное рабочее место купить	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	компьютеры для закупки 223 фз	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Компьютеры и АРМ	5	российские пк для школы	Российские компьютеры и АРМ для организаций	Системные блоки и рабочие места — Лигус	Комплектация АРМ под требования закупки	Поможем подобрать компьютеры для учреждения	Компьютер, монитор, периферия и ПО. Подберём совместимую комплектацию.	Проверим реестровые записи под требования закупки. Подготовим предложение.	От задач сотрудников до спецификации. Поставки по России.	https://ligus-msk.ru/production/computers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	мфу для организаций купить	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	принтеры для бюджетных учреждений	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	российские мфу для госзакупок	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	мфу из реестра минпромторга купить	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	поставка оргтехники для школы	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Принтеры и МФУ	6	принтеры для закупки 44 фз	Принтеры и МФУ для организаций	Оргтехника для учреждений — подбор и поставка	Подберём МФУ под объём печати и бюджет	Лигус — комплектация офисной техникой	Учтём объём печати, расходные материалы и требования к происхождению модели.	Поможем с подбором оргтехники и подготовкой спецификации для закупки.	Пришлите перечень оборудования. Уточним комплектацию и условия поставки.	https://ligus-msk.ru/production/printers/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Интерактивные панели	7	интерактивная панель для школы купить	Интерактивные панели для школ и учреждений	Подбор панелей для классов и переговорных	Мониторы и панели — комплектация от Лигус	Подберём оборудование под ваше помещение	Учтём диагональ, подключение и сценарии занятий. Подготовим спецификацию.	Поможем выбрать оборудование под задачи и бюджет. Поставки по России.	Есть готовый перечень? Рассчитаем поставку и проверим комплектацию.	https://ligus-msk.ru/production/displays/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Интерактивные панели	7	поставка интерактивных панелей	Интерактивные панели для школ и учреждений	Подбор панелей для классов и переговорных	Мониторы и панели — комплектация от Лигус	Подберём оборудование под ваше помещение	Учтём диагональ, подключение и сценарии занятий. Подготовим спецификацию.	Поможем выбрать оборудование под задачи и бюджет. Поставки по России.	Есть готовый перечень? Рассчитаем поставку и проверим комплектацию.	https://ligus-msk.ru/production/displays/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Интерактивные панели	7	интерактивные панели для учреждений	Интерактивные панели для школ и учреждений	Подбор панелей для классов и переговорных	Мониторы и панели — комплектация от Лигус	Подберём оборудование под ваше помещение	Учтём диагональ, подключение и сценарии занятий. Подготовим спецификацию.	Поможем выбрать оборудование под задачи и бюджет. Поставки по России.	Есть готовый перечень? Рассчитаем поставку и проверим комплектацию.	https://ligus-msk.ru/production/displays/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Интерактивные панели	7	интерактивные панели госзакупки	Интерактивные панели для школ и учреждений	Подбор панелей для классов и переговорных	Мониторы и панели — комплектация от Лигус	Подберём оборудование под ваше помещение	Учтём диагональ, подключение и сценарии занятий. Подготовим спецификацию.	Поможем выбрать оборудование под задачи и бюджет. Поставки по России.	Есть готовый перечень? Рассчитаем поставку и проверим комплектацию.	https://ligus-msk.ru/production/displays/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Интерактивные панели	7	мониторы для организаций купить	Интерактивные панели для школ и учреждений	Подбор панелей для классов и переговорных	Мониторы и панели — комплектация от Лигус	Подберём оборудование под ваше помещение	Учтём диагональ, подключение и сценарии занятий. Подготовим спецификацию.	Поможем выбрать оборудование под задачи и бюджет. Поставки по России.	Есть готовый перечень? Рассчитаем поставку и проверим комплектацию.	https://ligus-msk.ru/production/displays/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
-	Проекторы и мультимедиа	8	проекторы для школы купить	Проекторы и мультимедиа для организаций	Оборудование для учебных классов — Лигус	Подбор техники для занятий и презентаций	Комплект мультимедиа под ваше помещение	Подберём проектор, экран и звук под помещение. Подготовим предложение.	Поможем сформировать требования и собрать совместимый комплект техники.	Оснащение классов и переговорных. Обсудим задачи, бюджет и сроки.	https://ligus-msk.ru/production/electronics/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	вакансия, резюме, скачать драйвер, скачать бесплатно, ремонт своими руками, схема ремонта, разборка ноутбука, ноутбук бу, бу ноутбук, ноутбук с рук, реферат, курсовая работа	Подбор техники||Расчёт поставки||Проверка реестра||Контакты	Поможем определить состав оборудования и сформировать ТЗ.||Подготовим предложение по вашей спецификации.||Проверим конкретную модель и реестровую запись.||Обсудите задачу с отделом поставок Лигус.	https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#selection||https://ligus-msk.ru/services/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}#quote||https://ligus-msk.ru/russian-equipment/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}||https://ligus-msk.ru/contacts/?utm_source=yandex&utm_medium=cpc&utm_campaign={campaign_id}&utm_content=ad_{ad_id}_group_{gbid}_device_{device_type}&utm_term={keyword}	Подбор под задачу||Помощь с ТЗ||Поставки по России
